GAME_ID,AWAY,A_TS%,A_eFG%,A_3PAr,A_FTr,A_ORB%,A_DRB%,A_TRB%,A_AST%,A_STL%,A_BL%,A_TOV%,A_ORtg,A_DRtg,A_PTS,HOME,H_TS%,H_eFG%,H_3PAr,H_FTr,H_ORB%,H_DRB%,H_TRB%,H_AST%,H_STL%,H_BL%,H_TOV%,H_ORtg,H_DRtg,H_PTS
201301300PHI,WAS,0.4985,0.46202272727272714,0.23093181818181827,0.245340909090909,24.459090909090904,74.39772727272727,49.17727272727272,61.531818181818174,7.840909090909091,7.754545454545456,14.004545454545452,97.98636363636365,103.39318181818182,84.0,PHI,0.5112000000000002,0.48391111111111096,0.2116,0.20300000000000007,24.302222222222216,73.87777777777778,48.162222222222226,59.411111111111104,8.031111111111112,8.291111111111112,11.888888888888886,102.76444444444444,106.53555555555556,92.0
201301300BOS,SAC,0.5200212765957445,0.48065957446808527,0.22395744680851068,0.27306382978723404,27.593617021276593,69.47872340425533,48.06382978723404,53.97446808510638,8.83191489361702,7.3638297872340415,13.24255319148936,104.83404255319147,112.08297872340425,81.0,BOS,0.5350444444444444,0.4946000000000002,0.20382222222222227,0.26406666666666667,20.824444444444445,74.11777777777777,47.817777777777785,62.78666666666664,9.395555555555557,6.755555555555556,13.54888888888889,102.96222222222221,103.8266666666667,99.0
201301300IND,DET,0.5196739130434782,0.4844565217391305,0.2090217391304348,0.29345652173913045,29.09130434782608,71.95217391304347,50.4304347826087,55.96086956521741,7.110869565217393,9.104347826086956,13.713043478260872,104.55,106.9673913043478,79.0,IND,0.5071521739130435,0.46756521739130424,0.23834782608695654,0.26615217391304347,30.110869565217396,74.73260869565216,52.521739130434774,57.728260869565204,7.615217391304348,10.078260869565218,13.969565217391303,102.2565217391304,100.22391304347825,98.0
201301300BRK,MIA,0.579047619047619,0.5436904761904762,0.27514285714285713,0.28921428571428576,21.821428571428573,72.63095238095238,48.561904761904756,57.84285714285714,9.073809523809524,8.261904761904763,13.021428571428574,112.08095238095241,105.50000000000003,105.0,BRK,0.5345652173913044,0.4921304347826087,0.27841304347826085,0.3090652173913044,29.85652173913042,73.09565217391305,51.11956521739131,57.58043478260869,8.121739130434783,7.567391304347825,13.299999999999999,108.49782608695654,107.15434782608696,85.0
201301300ATL,TOR,0.5312391304347829,0.4903913043478259,0.2650652173913044,0.269304347826087,25.219565217391313,73.2891304347826,48.44565217391305,61.728260869565204,7.908695652173913,7.217391304347825,11.969565217391304,106.93260869565215,108.91086956521742,92.0,ATL,0.5428000000000001,0.517422222222222,0.28862222222222217,0.23820000000000008,23.306666666666672,73.57777777777777,48.60888888888888,63.50666666666667,9.008888888888889,7.897777777777777,14.07333333333333,105.08444444444447,104.33999999999999,93.0
201301300NYK,ORL,0.5286666666666666,0.4977333333333334,0.23637777777777774,0.19533333333333336,24.948888888888884,75.06666666666665,50.49555555555556,61.14222222222222,6.457777777777779,6.546666666666666,13.58,103.83777777777777,108.66666666666664,97.0,NYK,0.5479302325581397,0.5136279069767442,0.3466046511627906,0.25483720930232556,24.511627906976745,75.47209302325582,48.82790697674418,53.72093023255813,9.09767441860465,6.7674418604651185,10.546511627906973,111.7697674418605,106.72558139534884,113.0
201301300DEN,HOU,0.5585833333333333,0.5182916666666665,0.34137499999999993,0.31172916666666656,25.53958333333333,75.06250000000001,50.68333333333334,59.935416666666676,8.958333333333334,6.45625,14.614583333333336,108.96875000000004,106.36458333333337,110.0,DEN,0.5395744680851066,0.5074893617021278,0.2234468085106383,0.3107872340425532,31.370212765957458,71.82127659574466,51.83404255319149,59.40851063829787,8.880851063829788,10.334042553191487,13.431914893617021,109.30851063829785,106.14255319148934,118.0
201301300UTA,NOH,0.5278695652173914,0.4916739130434781,0.23678260869565224,0.23900000000000005,27.641304347826093,74.4195652173913,50.65000000000001,59.06086956521739,7.23695652173913,9.104347826086956,13.306521739130437,105.56521739130437,109.80217391304348,99.0,UTA,0.5315217391304347,0.48734782608695637,0.2081086956521739,0.3065000000000001,28.939130434782616,72.3,50.29565217391304,62.54565217391302,9.154347826086957,9.93913043478261,13.308695652173911,107.2021739130435,108.4108695652174,104.0
201301300SAS,CHA,0.507888888888889,0.4589555555555555,0.19766666666666666,0.32239999999999996,26.45333333333333,70.41555555555556,48.00888888888889,54.13333333333334,7.94222222222222,10.66,12.475555555555557,102.79555555555557,112.09333333333333,78.0,SAS,0.5762916666666666,0.5405833333333333,0.2742916666666667,0.2574583333333333,20.620833333333334,75.30416666666666,49.74166666666668,63.55416666666667,9.195833333333333,7.733333333333334,13.77916666666667,109.91250000000002,100.98333333333335,102.0
201301300MIN,LAC,0.5508936170212765,0.5170425531914893,0.24744680851063836,0.302127659574468,28.638297872340427,73.2382978723404,51.22553191489361,61.127659574468076,11.085106382978724,10.357446808510637,12.968085106382981,110.6212765957447,102.12765957446808,96.0,MIN,0.5111904761904761,0.4660000000000001,0.2263333333333333,0.31954761904761897,30.12619047619047,74.88809523809525,51.902380952380945,61.66666666666664,8.457142857142859,8.188095238095238,13.673809523809522,103.54761904761905,105.99523809523808,90.0
201301300PHO,LAL,0.5487173913043479,0.512695652173913,0.3062391304347826,0.3492391304347827,28.571739130434775,73.78043478260872,51.7304347826087,59.047826086956526,7.695652173913044,8.223913043478262,13.886956521739135,108.68260869565215,107.22608695652173,86.0,PHO,0.5162391304347826,0.4809782608695651,0.21299999999999997,0.23804347826086958,25.560869565217384,71.51304347826088,47.97608695652173,58.85217391304349,8.480434782608697,8.191304347826087,12.786956521739132,103.6391304347826,107.83478260869562,92.0
201301310GSW,DAL,0.5376521739130435,0.49558695652173906,0.23028260869565215,0.26039130434782615,21.995652173913037,73.18043478260869,47.952173913043474,59.18913043478261,8.15869565217391,8.008695652173914,12.93478260869565,105.19782608695651,107.52391304347829,97.0,GSW,0.5472391304347827,0.5050652173913044,0.24147826086956514,0.25989130434782615,25.82608695652174,74.69347826086957,51.297826086956526,60.38478260869566,7.354347826086956,6.510869565217393,13.869565217391306,107.2217391304348,105.7717391304348,100.0
201301310OKC,MEM,0.5084,0.4661555555555557,0.16731111111111108,0.25131111111111115,32.12222222222222,74.25777777777776,52.5911111111111,56.65111111111111,10.177777777777779,8.82,13.131111111111109,104.97333333333331,101.07333333333332,89.0,OKC,0.5836956521739128,0.5274347826086957,0.24726086956521745,0.34873913043478255,26.47826086956522,73.32391304347824,51.6304347826087,57.910869565217396,8.71086956521739,11.158695652173913,14.363043478260868,113.26956521739132,104.09782608695652,106.0
201302010TOR,LAC,0.5482916666666665,0.5139374999999998,0.24779166666666672,0.30481249999999993,28.477083333333336,73.20833333333331,51.097916666666656,60.85416666666666,10.997916666666667,10.29375,12.991666666666669,110.05833333333335,102.33749999999999,73.0,TOR,0.5317234042553194,0.49151063829787217,0.26625531914893624,0.2680425531914894,25.282978723404263,73.4127659574468,48.58297872340426,62.093617021276586,7.910638297872341,7.304255319148935,11.96808510638298,107.0446808510638,108.37234042553196,98.0
201302010PHI,SAC,0.5184374999999998,0.47868750000000015,0.22193750000000004,0.27395833333333336,27.41666666666666,69.57916666666668,47.95208333333333,54.30833333333333,8.920833333333333,7.345833333333332,13.229166666666666,104.47499999999998,111.77916666666665,80.0,PHI,0.5115652173913044,0.48410869565217374,0.211,0.20402173913043486,24.33260869565217,74.0304347826087,48.3608695652174,59.328260869565206,8.000000000000002,8.236956521739133,12.013043478260867,102.64999999999999,106.12391304347828,89.0
201302010BOS,ORL,0.5263913043478261,0.49550000000000005,0.23558695652173908,0.1931521739130435,25.021739130434778,75.09130434782607,50.47391304347826,60.9608695652174,6.550000000000002,6.602173913043478,13.554347826086957,103.52608695652174,108.55217391304345,84.0,BOS,0.5351086956521739,0.4952391304347828,0.20404347826086963,0.2619565217391304,20.889130434782608,74.06521739130434,47.876086956521746,62.973913043478234,9.400000000000002,6.75217391304348,13.545652173913044,102.97173913043476,103.51521739130439,97.0
