GAME_ID,AWAY,A_TS%,A_eFG%,A_3PAr,A_FTr,A_ORB%,A_DRB%,A_TRB%,A_AST%,A_STL%,A_BL%,A_TOV%,A_ORtg,A_DRtg,HOME,H_TS%,H_eFG%,H_3PAr,H_FTr,H_ORB%,H_DRB%,H_TRB%,H_AST%,H_STL%,H_BL%,H_TOV%,H_ORtg,H_DRtg
201104080MIA,CHA,0.526730769,0.479487179,0.189435897,0.323333333,25.54487179,75.65512821,50.39487179,60.00641026,7.134615385,8.858974359,13.61794872,103.7358974,108.4807692,MIA,0.57125641,0.522769231,0.235282051,0.369333333,24.76025641,75.71025641,51.7,53.70512821,7.319230769,8.725641026,12.74358974,112.3474359,104.5294872
201104080NJN,NYK,0.562717949,0.515217949,0.299166667,0.307884615,24.61666667,71.90384615,48.02692308,55.75128205,7.865384615,8.621794872,12.31538462,111.9871795,111.1153846,NJN,0.518346154,0.475448718,0.201666667,0.290782051,25.87692308,74.77435897,49.65,59.11282051,6.016666667,7.297435897,12.63333333,103.7769231,110.5782051
201104080CLE,CHI,0.540705128,0.500782051,0.214461538,0.307115385,29.25,76.32307692,53.41282051,59.76025641,7.978205128,8.925641026,12.74871795,109.2371795,101.0282051,CLE,0.517897436,0.473230769,0.224410256,0.317141026,23.92179487,73.71025641,48.02564103,59.57564103,7.120512821,6.535897436,13.03974359,102.4910256,112.7807692
201104080OKC,DEN,0.573576923,0.524769231,0.257910256,0.370717949,23.43974359,75.49102564,50.20128205,57.36666667,7.746153846,6.812820513,12.86282051,112.5269231,107.7807692,OKC,0.560371795,0.500692308,0.213102564,0.366294872,26.70384615,73.93717949,51.1025641,54.26025641,8.462820513,8.752564103,12.48589744,111.8064103,107.9282051
201104080POR,LAL,0.546051282,0.502551282,0.219717949,0.298423077,29.44102564,72.33974359,51.61538462,57.39102564,8.121794872,8.15,11.89615385,111.7410256,104.7128205,POR,0.535405063,0.489620253,0.226632911,0.283696203,29.05443038,72.77594937,49.8164557,58.41392405,9.15443038,7.502531646,12.03670886,109.8708861,107.9253165
201104080NOH,PHO,0.560461538,0.522653846,0.272076923,0.285435897,23.46410256,71.80512821,47.7525641,60.26538462,7.001282051,6.667948718,12.74102564,110.1294872,110.7384615,NOH,0.538474359,0.494564103,0.192923077,0.299974359,25.20384615,75.85769231,50.46282051,56.81153846,8.484615385,7.644871795,12.07564103,107.5333333,105.6474359
201104080DAL,LAC,0.536632911,0.497050633,0.232025316,0.338101266,28.3,73.86202532,51.20379747,59.66835443,7.436708861,7.787341772,14.41139241,106.4455696,109.7658228,DAL,0.564410256,0.523987179,0.275076923,0.288692308,23.67948718,74.89615385,50.27820513,63.65384615,7.329487179,6.842307692,13.13974359,109.9871795,106.2910256
201104080MEM,SAC,0.520269231,0.481551282,0.181102564,0.286628205,29.74615385,74.30769231,51.49615385,53.53333333,7.720512821,7.31025641,14.11538462,104.0294872,109.7076923,MEM,0.533871795,0.493089744,0.135987179,0.291948718,28.88717949,73.19615385,50.69358974,52.59487179,10.25641026,9.097435897,12.45641026,108.4551282,105.8564103
201104090MIL,CLE,0.517316456,0.472949367,0.223886076,0.314822785,23.8835443,73.80379747,48.03544304,59.31392405,7.126582278,6.512658228,13.0721519,102.3227848,112.6341772,MIL,0.510329114,0.466962025,0.216088608,0.289594937,24.65189873,75.20886076,49.28101266,54.38734177,8.332911392,7.84556962,12.20632911,102.2227848,103.5037975
201104090WAS,ATL,0.544721519,0.504164557,0.225050633,0.274164557,23.45696203,74.69493671,49.27848101,60.56075949,6.825316456,6.555696203,12.61898734,107.3670886,107.643038,WAS,0.514037975,0.471481013,0.175734177,0.293518987,27.62025316,70.46962025,48.16329114,52.22531646,8.458227848,9.549367089,13.52911392,102.9898734,111.4518987
201104090DEN,MIN,0.525417722,0.482025316,0.22421519,0.286443038,29.48481013,73.80379747,51.00886076,53.46202532,7.525316456,8.105063291,14.72151899,104.6924051,111.1670886,DEN,0.572556962,0.523632911,0.257607595,0.370962025,23.63164557,75.22911392,50.15443038,57.25316456,7.736708861,6.787341772,12.91012658,112.4101266,107.9443038
201104090HOU,LAC,0.537,0.497575,0.2320875,0.3371625,28.25875,73.7425,51.14125,59.64625,7.5,7.7975,14.47875,106.365,109.7875,HOU,0.552050633,0.504670886,0.262594937,0.305556962,27.09493671,72.75949367,49.88860759,61.44050633,7.494936709,6.401265823,11.71518987,112.1860759,110.1987342
