GAME_ID,AWAY,A_TS%,A_eFG%,A_3PAr,A_FTr,A_ORB%,A_DRB%,A_TRB%,A_AST%,A_STL%,A_BLK%,A_TOV%,A_ORtg,A_DRtg,A_PTS,HOME,H_TS%,H_eFG%,H_3PAr,H_FTr,H_ORB%,H_DRB%,H_TRB%,H_AST%,H_STL%,H_BLK%,H_TOV%,H_ORtg,H_DRtg,H_PTS
201612090OKC,HOU,0.5838181818181819,0.551,0.43063636363636365,0.2646363636363636,26.60909090909091,76.95909090909092,51.79545454545455,60.699999999999996,8.095454545454544,8.259090909090908,13.836363636363638,114.97272727272728,109.82272727272726,102.0,OKC,0.5422272727272728,0.5092272727272728,0.2963636363636364,0.2760454545454545,24.768181818181816,78.41363636363637,52.23636363636363,55.622727272727275,7.668181818181821,8.32272727272727,13.277272727272731,107.15909090909093,104.57727272727274,99.0
201612090LAL,PHO,0.5293636363636365,0.4853636363636362,0.26372727272727275,0.2975,24.577272727272724,78.48181818181817,50.44545454545455,46.91363636363637,8.65909090909091,6.695454545454546,13.713636363636367,103.44999999999999,110.4409090909091,119.0,LAL,0.5374583333333333,0.49595833333333333,0.28391666666666676,0.27158333333333334,25.870833333333337,76.41666666666667,50.47083333333334,53.050000000000004,8.691666666666668,6.108333333333333,13.879166666666668,106.14166666666664,112.05833333333334,115.0
201612090SAC,NYK,0.5328181818181819,0.49931818181818177,0.2896363636363637,0.22195454545454546,26.818181818181817,73.63636363636363,50.25454545454545,55.57727272727273,7.590909090909091,9.336363636363636,12.027272727272726,108.5772727272727,111.41363636363636,103.0,SAC,0.5435238095238095,0.49757142857142866,0.2806666666666667,0.30328571428571427,22.447619047619042,76.93333333333332,49.685714285714276,59.15714285714286,8.304761904761905,7.885714285714285,12.757142857142858,107.70476190476191,108.66666666666667,100.0
201612090MIN,DET,0.522125,0.4915833333333334,0.23958333333333334,0.20666666666666658,22.104166666666668,79.59166666666667,50.62500000000001,53.62916666666666,7.333333333333333,7.191666666666667,10.341666666666665,105.99166666666669,103.05,117.0,MIN,0.5461818181818181,0.5016363636363637,0.2813181818181818,0.3034545454545455,27.277272727272727,76.34545454545456,50.58636363636364,57.35909090909092,8.177272727272728,8.450000000000001,12.863636363636367,109.55454545454542,111.8409090909091,90.0
201612090DAL,IND,0.5410909090909091,0.500090909090909,0.2495,0.2648636363636363,20.713636363636365,73.25000000000001,47.36363636363637,56.04545454545455,9.327272727272726,9.881818181818181,13.013636363636362,105.0,107.77272727272727,103.0,DAL,0.5058095238095237,0.46823809523809523,0.35638095238095235,0.21700000000000003,20.133333333333333,79.22380952380952,47.40476190476189,54.32857142857142,8.176190476190477,6.833333333333333,11.842857142857142,99.42857142857143,108.13809523809525,111.0
201612100IND,POR,0.5570416666666668,0.5156666666666666,0.3450416666666667,0.2731666666666667,21.212500000000002,76.3916666666667,48.45416666666667,55.76249999999999,6.970833333333335,7.629166666666667,11.504166666666668,110.37083333333335,112.67500000000001,111.0,IND,0.5453913043478261,0.5029130434782608,0.2543913043478261,0.26973913043478254,20.356521739130436,73.85652173913044,47.630434782608695,56.460869565217386,9.165217391304347,9.81304347826087,13.052173913043475,105.42608695652174,108.46521739130434,118.0
201612100ORL,DEN,0.5274782608695653,0.48578260869565215,0.2970869565217391,0.3086521739130435,28.3,79.67391304347825,54.060869565217374,55.8304347826087,6.643478260869566,7.047826086956523,14.021739130434785,105.76521739130435,108.88260869565217,121.0,ORL,0.5041249999999999,0.4712083333333334,0.2983333333333334,0.2525416666666666,22.058333333333326,76.80416666666666,49.199999999999996,58.616666666666674,6.908333333333335,9.262500000000001,11.875000000000002,100.38749999999999,105.87083333333332,113.0
201612100WAS,MIL,0.5490476190476189,0.5107142857142858,0.2948571428571429,0.27747619047619054,22.814285714285717,76.99523809523808,50.400000000000006,61.10476190476191,8.976190476190474,10.747619047619047,12.833333333333336,107.33809523809525,105.5809523809524,105.0,WAS,0.5367142857142857,0.49976190476190474,0.250047619047619,0.24538095238095237,24.799999999999997,75.24761904761905,49.55238095238095,53.74761904761904,9.271428571428572,6.9142857142857155,12.63809523809524,106.5,108.72857142857141,110.0
201612100CHI,MIA,0.506,0.47669565217391313,0.29334782608695653,0.2570869565217392,25.13478260869565,75.1695652173913,49.29130434782609,54.3391304347826,7.739130434782608,9.13478260869565,11.3,103.61304347826086,107.68260869565219,100.0,CHI,0.5261818181818181,0.47645454545454535,0.23468181818181819,0.2929545454545454,29.80454545454545,76.40454545454544,53.095454545454544,53.849999999999994,8.090909090909092,8.754545454545454,11.913636363636362,108.50000000000001,105.58181818181819,105.0
201612100CLE,CHO,0.5394347826086957,0.4966521739130435,0.32239130434782615,0.3153913043478261,19.213043478260868,80.0304347826087,50.38260869565216,62.64782608695653,6.478260869565216,8.804347826086957,10.282608695652172,107.22608695652171,103.72608695652171,105.0,CLE,0.5795714285714285,0.5417619047619048,0.3984285714285714,0.2957619047619048,24.285714285714285,74.5095238095238,50.60952380952382,57.08571428571428,7.0,7.471428571428573,12.142857142857142,115.69523809523811,107.5238095238095,116.0
