DATE,GAME_ID,AWAY,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,PTS,HOME,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,PTS
2015-11-05,201511050CHI,OKC,240,.528,.482,.155,.238,20.0,76.1,48.4,55.3,2.2,11.1,8.8,100.0,107.2,113.8,98,CHI,240,.524,.483,.200,.233,23.9,80.0,51.6,50.0,3.3,9.9,5.7,100.0,113.8,107.2,104
2015-11-05,201511050DEN,UTA,240,.519,.500,.282,.200,26.1,73.8,48.9,62.2,6.9,11.5,9.8,100.0,109.9,96.2,96,DEN,240,.483,.424,.278,.472,26.2,73.9,51.1,57.1,4.6,9.8,13.0,100.0,96.2,109.9,84
2015-11-05,201511050POR,MEM,240,.557,.526,.260,.273,17.5,67.4,43.4,54.1,4.6,8.8,8.5,100.0,110.4,132.2,96,POR,240,.600,.592,.345,.230,32.6,82.5,56.6,65.9,3.4,5.3,7.7,100.0,132.2,110.4,115
2015-11-05,201511050MIN,MIA,240,.552,.513,.184,.329,17.1,77.8,48.8,37.8,6.3,8.2,15.5,100.0,100.2,87.7,96,MIN,240,.444,.376,.141,.259,22.2,82.9,51.2,53.3,7.3,9.7,14.5,100.0,87.7,100.2,84
2015-11-05,201511050DAL,CHO,240,.560,.528,.303,.191,18.2,83.3,52.2,43.2,8.2,11.3,10.2,100.0,110.8,96.4,108,DAL,240,.501,.427,.354,.329,16.7,81.8,47.8,53.1,8.2,3.2,12.2,100.0,96.4,110.8,94
2015-11-06,201511060BOS,WAS,240,.499,.455,.284,.261,20.8,70.0,45.9,63.9,9.3,11.9,19.7,100.0,90.8,109.4,98,BOS,240,.551,.515,.309,.237,30.0,79.2,54.1,54.5,16.7,7.9,13.7,100.0,109.4,90.8,118
2015-11-06,201511060IND,MIA,240,.502,.481,.247,.160,17.1,78.6,48.2,58.3,5.5,9.2,11.3,100.0,96.4,99.7,87,IND,240,.497,.481,.188,.300,21.4,82.9,51.8,58.3,4.4,8.2,11.7,100.0,99.7,96.4,90
2015-11-06,201511060BRK,LAL,240,.544,.468,.295,.513,13.5,71.4,46.5,42.4,8.9,8.1,13.6,100.0,102.8,96.9,104,BRK,240,.481,.446,.204,.215,28.6,86.5,53.5,52.5,5.9,10.9,12.8,100.0,96.9,102.8,98
2015-11-06,201511060ORL,TOR,240,.440,.378,.267,.337,30.6,82.9,52.4,43.3,5.6,9.6,8.4,100.0,97.8,103.4,87,ORL,240,.531,.487,.325,.286,17.1,69.4,47.6,66.7,4.5,6.3,12.2,100.0,103.4,97.8,92
2015-11-06,201511060CLE,PHI,240,.596,.582,.291,.190,17.1,73.8,45.8,56.1,9.4,6.5,15.7,100.0,106.4,112.6,102,CLE,240,.579,.568,.295,.136,26.2,82.9,54.2,64.4,9.4,0.0,15.4,100.0,112.6,106.4,108
2015-11-06,201511060NYK,MIL,240,.528,.451,.173,.358,31.0,66.7,48.8,60.0,6.7,8.8,11.3,100.0,110.3,102.5,99,NYK,240,.493,.432,.296,.346,33.3,69.0,51.2,60.6,3.3,7.5,13.8,100.0,102.5,110.3,92
2015-11-06,201511060GSW,DEN,240,.511,.467,.261,.239,20.0,72.3,45.4,59.0,12.1,8.9,15.7,100.0,96.9,110.8,104,GSW,240,.590,.586,.398,.194,27.7,80.0,54.6,87.0,9.3,8.8,16.5,100.0,110.8,96.9,119
2015-11-06,201511060SAC,HOU,240,.618,.579,.439,.329,32.6,71.4,53.3,57.5,7.9,6.2,18.3,100.0,114.5,108.6,116,SAC,240,.520,.478,.301,.312,28.6,67.4,46.7,65.0,13.8,6.5,12.4,100.0,108.6,114.5,110
2015-11-06,201511060NOP,ATL,240,.655,.591,.273,.455,18.8,85.4,56.2,73.2,10.1,11.1,14.0,100.0,122.3,116.3,121,NOP,240,.608,.560,.357,.286,14.6,81.3,43.8,71.4,9.1,12.5,11.3,100.0,116.3,122.3,115
2015-11-07,201511070MIL,BRK,240,.476,.433,.110,.232,35.4,77.8,55.9,52.9,12.1,4.8,16.6,100.0,94.4,103.2,86,MIL,240,.528,.500,.244,.195,22.2,64.6,44.1,73.0,9.9,8.2,14.4,100.0,103.2,94.4,94
2015-11-06,201511060PHO,DET,240,.557,.554,.297,.486,14.6,78.8,50.5,40.5,8.1,4.8,14.3,100.0,100.8,92.8,100,PHO,240,.471,.457,.326,.141,21.2,85.4,49.5,37.8,8.1,5.8,14.1,100.0,92.8,100.8,92
2015-11-07,201511070PHI,ORL,240,.561,.506,.157,.289,26.3,75.6,51.9,61.5,10.6,14.9,12.2,100.0,111.6,103.1,105,PHI,240,.530,.519,.413,.325,24.4,73.7,48.1,66.7,6.4,14.3,14.9,100.0,103.1,111.6,97
2015-11-07,201511070CHI,MIN,265,.473,.443,.167,.281,25.9,81.5,53.7,66.7,7.5,11.5,12.2,100.0,95.2,86.8,102,CHI,265,.451,.414,.344,.247,18.5,74.1,46.3,60.6,6.5,7.5,14.9,100.0,86.8,95.2,93
2015-11-07,201511070ATL,WAS,240,.579,.538,.308,.218,21.6,76.7,51.3,71.1,11.0,5.1,21.9,100.0,99.3,114.4,99,ATL,240,.578,.538,.359,.163,23.3,78.4,48.8,86.0,12.0,7.4,12.4,100.0,114.4,99.3,114
2015-11-07,201511070UTA,MEM,240,.407,.363,.209,.154,24.5,77.5,47.3,53.3,8.6,2.1,12.6,100.0,84.7,95.5,79,UTA,240,.543,.500,.365,.243,22.5,75.5,52.7,58.1,7.5,13.9,20.4,100.0,95.5,84.7,89
2015-11-07,201511070SAS,CHO,240,.542,.507,.260,.425,14.3,81.8,44.0,44.1,7.4,0.0,14.8,100.0,99.1,120.2,94,SAS,240,.626,.611,.259,.284,18.2,85.7,56.0,77.8,11.6,5.6,11.6,100.0,120.2,99.1,114
2015-11-07,201511070LAC,HOU,240,.552,.483,.349,.337,26.8,76.6,53.4,42.1,7.1,4.5,12.4,100.0,111.1,107.0,109,LAC,240,.530,.500,.250,.284,23.4,73.2,46.6,69.0,8.2,8.9,10.8,100.0,107.0,111.1,105
2015-11-07,201511070SAC,GSW,240,.506,.457,.424,.239,31.9,70.5,50.5,71.1,13.0,2.9,15.0,100.0,103.4,94.3,103,SAC,240,.500,.471,.218,.184,29.5,68.1,49.5,68.4,9.0,5.7,18.3,100.0,94.3,103.4,94
2015-11-07,201511070DAL,NOP,240,.534,.506,.326,.151,16.3,85.4,50.0,53.8,7.4,10.0,11.6,100.0,103.2,112.7,98,DAL,240,.571,.530,.286,.262,14.6,83.7,50.0,50.0,5.3,3.4,8.8,100.0,112.7,103.2,107
2015-11-08,201511080MIA,TOR,240,.471,.415,.268,.310,16.7,70.5,44.2,60.7,9.1,7.9,16.5,100.0,86.4,109.1,76,MIA,240,.511,.470,.241,.301,29.5,83.3,55.8,51.4,9.1,15.4,9.6,100.0,109.1,86.4,96
2015-11-08,201511080CLE,IND,240,.493,.467,.200,.211,24.5,76.1,49.5,56.4,5.5,6.8,6.6,100.0,106.2,110.6,97,CLE,240,.537,.506,.289,.301,23.9,75.5,50.5,65.8,5.5,5.6,9.6,100.0,110.6,106.2,101
2015-11-08,201511080NYK,LAL,240,.456,.431,.287,.245,22.2,77.3,46.9,52.8,7.3,5.3,8.0,100.0,99.7,103.9,95,NYK,240,.512,.446,.321,.345,22.7,77.8,53.1,66.7,5.2,7.5,8.5,100.0,103.9,99.7,99
2015-11-08,201511080POR,DET,240,.568,.547,.313,.229,35.3,80.0,53.5,34.0,13.5,9.8,7.8,100.0,124.3,106.7,120,POR,240,.614,.599,.329,.237,20.0,64.7,46.5,58.5,5.2,3.0,20.8,100.0,106.7,124.3,103
2015-11-08,201511080OKC,PHO,240,.540,.494,.190,.310,16.7,60.5,38.8,47.4,6.6,1.4,19.4,100.0,97.6,117.4,103,OKC,240,.578,.543,.213,.319,39.5,83.3,61.2,53.1,13.3,11.8,12.3,100.0,117.4,97.6,124
2015-11-09,201511090PHI,CHI,240,.523,.479,.260,.240,26.0,75.0,52.7,68.3,5.7,13.3,11.7,100.0,106.4,84.3,111,PHI,240,.400,.375,.250,.230,25.0,74.0,47.3,54.3,5.7,12.7,10.6,100.0,84.3,106.4,88
