GAME_ID,AWAY_TEAM,A_FG,A_FGA,A_3P,A_3PA,A_FT,A_FTA,A_ORB,A_DRB,A_TRB,A_AST,A_STL,A_BLK,A_TOB,A_PF,A_AVG_PTS,AWAY_POINTS,HOME_TEAM,H_FG,H_FGA,H_3P,H_3PA,H_FT,H_FTA,H_ORB,H_DRB,H_TRB,H_AST,H_STL,H_BLK,H_TOB,H_PF,H_AVG_PTS,HOME_POINTS
201603210ATL,WAS,39.05714286,85.37142857,8.585714286,24,16.45714286,22.38571429,8.857142857,32.3,41.15714286,23.95714286,8.771428571,3.957142857,13.67142857,20.72857143,103.1571429,117,ATL,38.57746479,83.90140845,9.76056338,27.81690141,15.66197183,20.01408451,8.23943662,33.47887324,41.71830986,25.52112676,9.267605634,5.690140845,14.5915493,19.02816901,102.5774648,102
201603210BOS,ORL,38.85714286,86.6,7.814285714,22.41428571,15.25714286,20,10.34285714,33.4,43.74285714,23.05714286,8.128571429,5.028571429,13.84285714,20.77142857,100.7857143,96,BOS,39.50704225,89.70422535,8.85915493,26.52112676,18.15492958,22.92957746,11.64788732,33.35211268,45,24.35211268,9.352112676,4.253521127,13.56338028,22.15492958,106.028169,107
201603210CHI,SAC,39.88571429,86.22857143,7.985714286,22.52857143,18.65714286,25.57142857,10.52857143,33.94285714,44.47142857,24.64285714,8.857142857,4.342857143,15.71428571,20.55714286,106.4142857,102,CHI,38.76811594,88.04347826,7.695652174,20.79710145,16.52173913,21.05797101,11.1884058,35.91304348,47.10144928,22.72463768,6,5.739130435,13.57971014,19.11594203,101.7536232,109
201603210CHO,SAS,40.64285714,83.44285714,7.128571429,18.72857143,15.9,19.77142857,9.342857143,35.11428571,44.45714286,24.95714286,8.128571429,6.042857143,12.65714286,17.72857143,104.3142857,88,CHO,36.85714286,84.52857143,10.51428571,29.32857143,18.74285714,23.87142857,9.114285714,34.84285714,43.95714286,21.28571429,7.085714286,5.314285714,12.07142857,18.4,102.9714286,91
201603210CLE,DEN,37.8028169,85.46478873,7.929577465,23.35211268,18.71830986,24.36619718,11.50704225,33.08450704,44.5915493,22.46478873,7.549295775,4.535211268,14.21126761,21.08450704,102.2535211,91,CLE,38.62857143,83.81428571,10.41428571,28.92857143,16.21428571,21.84285714,10.67142857,33.8,44.47142857,22.44285714,6.8,3.657142857,12.82857143,20.4,103.8857143,124
201603210DET,MIL,38.1971831,81.97183099,5.436619718,15.49295775,17.22535211,22.97183099,10.46478873,31.1971831,41.66197183,23,8.169014085,5.816901408,14.54929577,20.97183099,99.05633803,91,DET,38.28169014,86.92957746,8.957746479,26.21126761,16.6056338,25.28169014,12.53521127,33.47887324,46.01408451,19.1971831,7.183098592,3.591549296,12.98591549,19.36619718,102.1267606,92
201603210IND,PHI,36.22535211,83.21126761,8.661971831,25.95774648,15.74647887,22.83098592,9.492957746,31.64788732,41.14084507,21.01408451,8.38028169,6.183098592,16.25352113,21.90140845,96.85915493,75,IND,38.07142857,85.45714286,7.985714286,22.97142857,17.65714286,23.24285714,10.4,33.72857143,44.12857143,20.7,9,4.857142857,14.27142857,20.08571429,101.7857143,91
201603210MIN,GSW,42.64285714,87.45714286,12.88571429,31.1,17.1,22.52857143,10.2,36.01428571,46.21428571,29.21428571,8.5,6.071428571,14.78571429,20.88571429,115.2714286,109,MIN,37.38571429,81.01428571,5.257142857,15.77142857,21.71428571,27.24285714,10.1,31.47142857,41.57142857,22.91428571,7.714285714,4.657142857,14.31428571,21.17142857,101.7428571,104
201603210PHO,MEM,36.54929577,82.87323944,6.084507042,18.36619718,19.97183099,25.29577465,10.73239437,30.95774648,41.69014085,20.85915493,8.774647887,4.464788732,12.64788732,21.84507042,99.15492958,103,PHO,36.87142857,85,8.971428571,25.5,17.48571429,23.24285714,11,32.95714286,43.95714286,20.38571429,7.742857143,3.885714286,16.11428571,22.57142857,100.2,97
201603220BRK,CHO,36.88732394,84.49295775,10.50704225,29.30985915,18.71830986,23.83098592,9.028169014,34.81690141,43.84507042,21.28169014,7.084507042,5.309859155,12.01408451,18.43661972,103,105,BRK,38.21428571,83.65714286,6.328571429,17.8,15.55714286,20.31428571,10.17142857,32.08571429,42.25714286,22.11428571,7.371428571,4,14.31428571,18.05714286,98.31428571,100
201603220LAL,MEM,36.59722222,82.83333333,6.055555556,18.31944444,19.91666667,25.26388889,10.76388889,30.80555556,41.56944444,20.88888889,8.833333333,4.430555556,12.75,21.90277778,99.16666667,100,LAL,35.34285714,84.44285714,7.857142857,24.71428571,19.32857143,24.94285714,10.61428571,32.28571429,42.9,18.28571429,7.142857143,4.242857143,13.04285714,20.31428571,97.87142857,107
201603220NOP,MIA,37.94285714,81.15714286,6.057142857,18.11428571,17.57142857,23.51428571,9.685714286,34.67142857,44.35714286,20.85714286,6.614285714,6.6,13.35714286,18.17142857,99.51428571,113,NOP,38.54285714,86.32857143,8.585714286,24.17142857,17.54285714,22.45714286,9.485714286,33.2,42.68571429,21.82857143,7.814285714,4.514285714,12.8,21.14285714,103.2142857,99
201603220OKC,HOU,37.25352113,83.14084507,10.66197183,31.04225352,20.98591549,29.91549296,11.23943662,31.70422535,42.94366197,21.90140845,10.16901408,5.042253521,15.45070423,22.07042254,106.1549296,107,OKC,41.16901408,86.4084507,8.070422535,23.21126761,19.77464789,25.09859155,12.87323944,35.66197183,48.53521127,22.91549296,7.211267606,6.098591549,15.33802817,20.71830986,110.1830986,111
201603230BOS,TOR,36.5,81.17142857,8.457142857,23.05714286,21.21428571,27.2,10.25714286,33.08571429,43.34285714,18.37142857,7.814285714,5.328571429,12.2,19.8,102.6714286,79,BOS,39.44444444,89.56944444,8.847222222,26.43055556,18.08333333,22.90277778,11.58333333,33.45833333,45.04166667,24.34722222,9.291666667,4.263888889,13.48611111,22.09722222,105.8194444,91
201603230CHI,NYK,36.88888889,83.98611111,7.277777778,21.16666667,17.68055556,21.88888889,10.44444444,33.77777778,44.22222222,20.44444444,5.638888889,5.652777778,12.52777778,19.93055556,98.73611111,115,CHI,38.75714286,87.95714286,7.8,20.95714286,16.51428571,21.05714286,11.11428571,35.8,46.91428571,22.81428571,6.014285714,5.728571429,13.47142857,19.01428571,101.8285714,107
201603230CLE,MIL,38.26388889,81.94444444,5.458333333,15.5,17.13888889,22.86111111,10.45833333,31.05555556,41.51388889,23,8.166666667,5.791666667,14.54166667,21.01388889,99.125,104,CLE,38.64788732,83.8028169,10.4084507,29,16.30985915,21.91549296,10.76056338,33.67605634,44.43661972,22.53521127,6.788732394,3.718309859,12.81690141,20.35211268,104.0140845,113
201603230DEN,PHI,36.23611111,83.36111111,8.75,26.11111111,15.72222222,22.72222222,9.472222222,31.72222222,41.19444444,21.08333333,8.361111111,6.152777778,16.15277778,21.97222222,96.94444444,103,DEN,37.73611111,85.33333333,7.902777778,23.26388889,18.90277778,24.58333333,11.44444444,33.16666667,44.61111111,22.40277778,7.541666667,4.597222222,14.23611111,21.05555556,102.2777778,104
201603230DET,ORL,38.85915493,86.76056338,7.816901408,22.45070423,15.26760563,19.98591549,10.43661972,33.30985915,43.74647887,23.07042254,8.14084507,5,13.73239437,20.74647887,100.8028169,102,DET,38.34722222,86.83333333,8.986111111,26.18055556,16.66666667,25.27777778,12.48611111,33.51388889,46,19.34722222,7.138888889,3.611111111,13.01388889,19.30555556,102.3472222,118
