Team,GAME_ID,AWAY_TEAM,MP,A_FG,A_FGA,FG%,A_3P,A_3PA,3P%,A_FT,A_FTA,FT%,A_ORB,A_DRB,A_TRB,A_AST,A_STL,A_BLK,A_TOB,A_PF,A_PTS,HOME_TEAM,MP,H_FG,H_FGA,FG%,H_3P,3H_PA,3P%,H_FT,H_FTA,FT%,H_ORB,H_DRB,H_TRB,H_AST,H_STL,H_BLK,H_TOB,H_PF,H_PTS,WINNER
10/30/2014,201410300ORL,WAS,240,39,80,0.488,7,13,0.538,20,26,0.769,6,31,37,22,10,0,12,25,105,ORL,240,37,72,0.514,6,15,0.4,18,24,0.75,3,30,33,20,4,1,18,23,98,
10/31/2014,201410310CHI,CLE,265,41,104,0.394,3,15,0.2,29,33,0.879,20,32,52,18,8,4,9,18,114,CHI,265,41,90,0.456,13,31,0.419,13,17,0.765,11,31,42,25,4,14,19,28,108,
10/31/2014,201410310IND,MEM,240,35,79,0.443,7,19,0.368,20,27,0.741,11,29,40,20,11,2,9,21,97,IND,240,34,74,0.459,8,21,0.381,13,16,0.813,11,35,46,19,5,3,18,15,89,
10/31/2014,201410310LAL,LAC,240,34,71,0.479,12,33,0.364,38,44,0.864,6,30,36,25,6,2,14,26,118,LAL,240,42,82,0.512,7,20,0.35,20,28,0.714,9,31,40,24,5,2,14,35,111,
10/31/2014,201410310MIL,PHI,240,32,86,0.372,5,23,0.217,12,22,0.545,12,30,42,20,9,5,16,18,81,MIL,240,36,88,0.409,9,24,0.375,12,21,0.571,15,40,55,25,10,11,18,19,93,
10/31/2014,201410310PHO,SAS,240,32,78,0.41,8,25,0.32,17,23,0.739,5,40,45,20,3,3,12,25,89,PHO,240,35,87,0.402,2,18,0.111,22,26,0.846,12,38,50,15,2,5,7,21,94,
10/31/2014,201410310SAC,POR,240,34,83,0.41,9,26,0.346,17,19,0.895,10,28,38,20,5,8,10,26,94,SAC,240,34,81,0.42,4,10,0.4,31,35,0.886,14,35,49,14,6,2,10,24,103,
11/1/2014,201411010ATL,IND,240,31,81,0.383,12,32,0.375,18,21,0.857,11,33,44,25,5,5,18,26,92,ATL,240,35,69,0.507,7,20,0.35,25,33,0.758,3,34,37,26,10,6,12,20,102,
11/1/2014,201411010CHO,MEM,240,29,80,0.363,3,11,0.273,10,13,0.769,9,36,45,16,8,0,18,22,71,CHO,240,26,72,0.361,4,14,0.286,13,18,0.722,5,39,44,17,10,4,20,16,69,
11/1/2014,201411010DET,BRK,240,42,87,0.483,7,26,0.269,11,13,0.846,12,36,48,18,3,3,8,23,102,DET,240,32,76,0.421,1,17,0.059,25,35,0.714,10,31,41,21,3,3,7,15,90,
11/1/2014,201411010GSW,LAL,240,41,88,0.466,4,14,0.286,18,25,0.72,17,20,37,21,9,3,22,27,104,GSW,240,46,83,0.554,11,23,0.478,24,28,0.857,12,31,43,30,10,4,20,26,127,
11/1/2014,201411010HOU,BOS,240,37,98,0.378,1,25,0.04,15,18,0.833,14,30,44,20,10,8,10,26,90,HOU,240,32,76,0.421,12,34,0.353,28,40,0.7,10,39,49,20,9,8,17,24,104,
