Predicted Spread,Actual Spread,Spread Profit,Away ML,Home ML,ML Profit,Over/Under,Over/Under Profit
2,-5,0,-180,150,-10,223.5,9.090909091
2,15,0,200,-250,4,221.5,9.090909091
4,6,0,190,-240,4.166666667,207.5,9.090909091
1,10,0,-260,210,21,211,9.090909091
0,38,0,130,-150,6.666666667,225.5,9.090909091
6,21,0,650,-1000,1,224.5,
3,7,0,130,-150,6.666666667,228.5,
8,-2,0,425,-600,-10,224.5,
-6,-12,0,-550,400,1.818181818,218.5,
4,11,0,-130,110,11,216.5,
-2,-3,0,160,-190,16,197,
6,-12,0,130,-150,-10,217.5,
2,6,0,-125,105,10.5,216,9.090909091
0,-5,0,-370,285,2.702702703,236.5,
3,-28,0,-120,100,-10,228.5,9.090909091
0,9,0,-130,110,-10,211,9.090909091
-2,-8,0,-200,170,5,203,
2,6,0,225,-275,3.636363636,227,9.090909091
3,7,0,-260,210,21,206.5,
0,8,0,-350,275,-10,213,9.090909091
6,-5,0,500,-700,-10,210,
6,17,0,250,-310,3.225806452,227,
-1,-23,0,-500,375,2,218,
-1,-7,0,160,-190,16,228,9.090909091
0,9,0,142,-165,6.060606061,209.5,
1,11,0,650,-1000,1,213.5,9.090909091
7,-6,0,200,-250,-10,221,
3,18,0,-155,135,13.5,232,
-3,-3,0,-150,130,6.666666667,217.5,
10,17,0,775,-1300,0.769230769,209,
7,5,0,180,-220,4.545454545,212.5,
4,-4,0,100,-120,-10,217,9.090909091
-1,27,0,280,-360,-10,233,
6,-18,0,-125,105,-10,218,
9,25,0,750,-1200,0.833333333,212.5,
1,27,0,100,-120,8.333333333,225.5,9.090909091
2,8,0,-160,140,14,235,9.090909091
3,5,0,-120,100,10,229.5,9.090909091
6,8,0,170,-200,5,206.5,9.090909091
5,-1,0,750,-1200,-10,208,9.090909091
7,-8,0,700,-1100,-10,220,9.090909091
-1,-3,0,-125,105,8,215.5,9.090909091
11,11,0,850,-1500,0.666666667,220,9.090909091
4,18,0,600,-900,1.111111111,224.5,
7,8,0,350,-450,2.222222222,232.5,
3,-6,0,200,-250,-10,220,9.090909091
-1,-39,0,-155,135,6.451612903,207,9.090909091
7,22,0,750,-1200,0.833333333,228,
9,7,0,210,-260,3.846153846,201.5,
3,-19,0,-200,170,-10,235.5,
7,3,0,155,-185,5.405405405,211,
0,5,0,-130,110,-10,218,
6,4,0,135,-155,6.451612903,219,9.090909091
0,2,0,-150,130,13,208.5,
-1,-13,0,-125,105,8,224.5,
6,-8,0,-145,125,-10,211,9.090909091
0,10,0,-160,140,-10,204.5,9.090909091
5,12,0,150,-180,5.555555556,216,
2,8,0,180,-220,4.545454545,234,9.090909091
2,-7,0,120,-140,-10,228,9.090909091
7,-30,0,100,-120,-10,210.5,
8,3,0,105,-125,8,212,
4,26,0,150,-180,5.555555556,223,9.090909091
11,16,0,600,-900,1.111111111,206,9.090909091
7,4,0,600,-900,1.111111111,226,
4,7,0,160,-190,5.263157895,215.5,
6,21,0,120,-140,7.142857143,219.5,9.090909091
-4,7,0,-125,105,-10,215.5,
4,25,0,320,-420,2.380952381,220,9.090909091
2,-1,0,105,-125,-10,219,
8,3,0,160,-190,5.263157895,227.5,
3,16,0,275,-350,2.857142857,222,
7,8,0,350,-450,2.222222222,220.5,9.090909091
3,-20,0,-105,-115,-10,201,9.090909091
2,-3,0,375,-500,-10,223.5,9.090909091
4,2,0,500,-700,1.428571429,233,
0,16,0,500,-700,-10,216.5,9.090909091
8,-8,0,180,-220,-10,207.5,
5,-2,0,240,-300,-10,224,
-1,-24,0,120,-140,12,203,9.090909091
5,3,0,275,-350,2.857142857,215.5,9.090909091
2,5,0,-115,-105,9.523809524,239,
3,7,0,175,-210,4.761904762,222.5,
3,-26,0,375,-500,-10,234.5,9.090909091
4,4,0,-120,100,10,220.5,9.090909091
-1,-14,0,-600,425,1.666666667,228,9.090909091
5,21,0,240,-300,3.333333333,214.5,
3,-8,0,-280,230,-10,217.5,9.090909091
3,2,0,100,-120,8.333333333,220.5,9.090909091
-2,-25,0,-185,155,5.405405405,209.5,
2,3,0,110,-130,7.692307692,228.5,
1,11,0,160,-190,5.263157895,221.5,9.090909091
0,9,0,170,-200,-10,236.5,
3,8,0,400,-550,1.818181818,196.5,
-2,-2,0,-130,110,7.692307692,210.5,
1,-2,0,185,-230,-10,208.5,9.090909091
4,8,0,150,-180,5.555555556,213.5,9.090909091
7,-1,0,350,-450,-10,228,9.090909091
3,14,0,-145,125,12.5,218.5,9.090909091
10,16,0,950,-1800,0.555555556,224,
1,1,0,155,-185,5.405405405,229.5,
2,-17,0,170,-200,-10,217.5,
7,13,0,170,-200,5,221,9.090909091
3,3,0,160,-190,5.263157895,215.5,
0,37,0,240,-300,-10,206,9.090909091
2,-11,0,-310,250,-10,229,9.090909091
6,24,0,450,-650,1.538461538,202,9.090909091
5,-3,0,375,-500,-10,230,
7,2,0,148,-175,5.714285714,230,9.090909091
-1,29,0,-200,170,-10,208,
-2,-16,0,-190,160,5.263157895,223,9.090909091
10,-9,0,170,-200,-10,216.5,9.090909091
9,3,0,150,-180,5.555555556,218.5,
4,-11,0,120,-140,-10,227.5,9.090909091
-5,-9,0,-170,145,5.882352941,199.5,9.090909091
10,14,0,500,-700,1.428571429,223,
7,-4,0,-160,140,-10,229,9.090909091
0,-4,0,-210,175,4.761904762,217.5,
0,-10,0,-230,185,-10,223.5,
6,32,0,700,-1100,0.909090909,214,9.090909091
4,4,0,-170,145,14.5,223,9.090909091
3,2,0,-140,120,12,222.5,
0,7,0,110,-130,-10,231.5,
0,-9,0,142,-165,-10,211,9.090909091
0,2,0,105,-125,-10,204,9.090909091
4,34,0,135,-155,6.451612903,221.5,9.090909091
10,6,0,550,-800,1.25,207.5,
8,25,0,290,-380,2.631578947,210,9.090909091
10,12,0,160,-190,5.263157895,199.5,9.090909091
0,8,0,800,-1400,-10,220.5,
7,9,0,100,-120,8.333333333,232,
5,20,0,270,-340,2.941176471,222.5,
-5,-23,0,-650,450,1.538461538,227.5,
0,9,0,-115,-105,9.523809524,220,9.090909091
5,7,0,800,-1400,0.714285714,217.5,
4,-6,0,-125,105,-10,234,9.090909091
9,23,0,425,-600,1.666666667,218,9.090909091
5,-5,0,-120,100,-10,230,9.090909091
8,6,0,-105,-115,8.695652174,212,9.090909091
5,13,0,230,-280,3.571428571,221.5,9.090909091
4,5,0,-125,105,10.5,230.5,
0,-28,0,-120,100,8.333333333,199.5,
4,-38,0,105,-125,-10,220,9.090909091
-1,-25,0,-230,185,4.347826087,204.5,9.090909091
3,-7,0,-240,190,-10,230,9.090909091
-2,-7,0,210,-260,21,199,
-1,-5,0,-170,145,5.882352941,228.5,
6,16,0,210,-260,3.846153846,229,9.090909091
5,-1,0,320,-420,-10,225.5,
4,-4,0,-170,145,-10,227.5,
2,18,0,140,-160,6.25,216.5,9.090909091
5,21,0,150,-180,5.555555556,217,9.090909091
-3,-3,0,-300,240,3.333333333,201.5,9.090909091
1,-26,0,-550,400,-10,208,
5,-7,0,200,-250,-10,224,
-1,-9,0,150,-180,15,204,9.090909091
0,6,0,235,-290,3.448275862,214.5,
9,32,0,900,-1600,0.625,230.5,
7,17,0,150,-180,5.555555556,212,9.090909091
-2,-10,0,-210,175,4.761904762,233,9.090909091
4,-2,0,-110,-110,-10,223.5,
-4,-35,0,-550,400,1.818181818,222.5,
1,13,0,375,-500,2,219.5,9.090909091
3,-5,0,-180,150,-10,208,9.090909091
8,-7,0,190,-240,-10,222.5,9.090909091
6,6,0,225,-275,3.636363636,226.5,9.090909091
4,9,0,115,-135,7.407407407,216.5,
0,-4,0,-380,290,2.631578947,238.5,
7,20,0,320,-420,2.380952381,205,
3,24,0,-300,240,24,221.5,9.090909091
-2,-17,0,-130,110,7.692307692,208,
7,10,0,240,-300,3.333333333,220.5,9.090909091
2,22,0,300,-400,2.5,222,
4,-18,0,500,-700,-10,226,9.090909091
-2,-6,0,100,-120,10,224,
6,16,0,-110,-110,9.090909091,213,9.090909091
6,21,0,500,-700,1.428571429,218.5,9.090909091
2,-10,0,250,-310,-10,222.5,
0,-12,0,-150,130,6.666666667,213.5,9.090909091
6,12,0,100,-120,8.333333333,215,9.090909091
11,12,0,185,-230,4.347826087,221.5,
11,19,0,170,-200,5,212.5,
6,10,0,550,-800,1.25,220.5,9.090909091
8,16,0,160,-190,5.263157895,224,9.090909091
-1,-8,0,-600,425,1.666666667,207,9.090909091
8,27,0,1600,-6000,0.166666667,230,9.090909091
3,19,0,225,-275,3.636363636,230,
0,-4,0,110,-130,11,209.5,
4,-2,0,300,-400,-10,223.5,
6,17,0,300,-400,2.5,227.5,
-4,4,0,-180,150,-10,232,9.090909091
