GAME_ID,AWAY_ML,HOME_ML,SPREAD,TOTAL_POINTS
201812170DET,-150,130,4,217.5
201812170GSW,775,-1300,11,209
201812170HOU,180,-220,6,212.5
201812170LAC,100,-120,2,217
201812170MIN,280,-360,6.5,233
201812170NYK,-125,105,2,218
201812170OKC,750,-1200,14,212.5
201812170SAS,100,-120,1,225.5
201812180ATL,-160,140,4.5,235
201812180BRK,-120,100,2.5,229.5
201812180DEN,170,-200,3.5,206.5
201812180IND,750,-1200,12,208
201812190BOS,700,-1100,12,220
201812190CHI,-125,105,3.5,215.5
201812190CHO,850,-1500,12,220
201812190HOU,600,-900,10.5,224.5
201812190MIL,350,-450,6,232.5
201812190MIN,200,-250,5.5,220
201812190ORL,-155,135,1,207
201812190PHI,750,-1200,13,228
201812190POR,210,-260,6,201.5
201812190SAC,-200,170,3.5,235.5
201812190TOR,155,-185,8.5,211
201812190UTA,-130,110,3,218
201812200LAC,135,-155,3,219
201812200MIA,-150,130,3.5,208.5
201812210BOS,-125,105,2.5,224.5
201812210BRK,-145,125,1.5,211
201812210CHI,-160,140,3.5,204.5
201812210CHO,150,-180,3.5,216
201812210LAL,180,-220,4.5,234
201812210NYK,120,-140,3,228
201812210POR,100,-120,2,210.5
201812210SAC,105,-125,pk,212
201812210SAS,150,-180,2.5,223
201812210TOR,600,-900,12,206
201812220GSW,600,-900,11,226
201812220HOU,160,-190,6,215.5
201812220LAC,120,-140,1.5,219.5
201812220MIA,-125,105,3.5,215.5
201812220PHI,320,-420,4.5,220
201812220UTA,105,-125,pk,219
201812220WAS,160,-190,5.5,227.5
201812230BOS,275,-350,6.5,222
201812230BRK,350,-450,7,220.5
201812230CLE,-105,-115,2,201
201812230DET,375,-500,9.5,223.5
201812230GSW,500,-700,10,233
201812230IND,500,-700,9,216.5
201812230LAL,180,-220,6,207.5
201812230OKC,240,-300,7.5,224
201812230ORL,120,-140,2.5,203
201812230POR,275,-350,6.5,215.5
201812230SAC,-115,-105,1,239
201812250BOS,175,-210,4,222.5
201812250GSW,375,-500,8,234.5
201812250HOU,-120,100,1.5,220.5
201812250NYK,-600,425,10.5,228
201812250UTA,240,-300,5,214.5
201812260ATL,-280,230,8.5,217.5
201812260BRK,100,-120,1,220.5
201812260CHI,-185,155,5,209.5
201812260DAL,110,-130,1.5,228.5
201812260DET,160,-190,4.5,221.5
201812260LAC,170,-200,5,236.5
201812260MEM,400,-550,10,196.5
201812260MIA,-130,110,4.5,210.5
201812260ORL,185,-230,4.5,208.5
201812260SAS,150,-180,3,213.5
201812270GSW,350,-450,9,228
201812270HOU,-145,125,1,218.5
201812270MIL,950,-1800,14,224
201812270SAC,155,-185,3.5,229.5
201812270UTA,170,-200,4,217.5
201812280CHO,170,-200,4.5,221
201812280DEN,160,-190,2,215.5
201812280IND,240,-300,7,206
201812280LAL,-310,250,6,229
201812280MIA,450,-650,9.5,202
201812280MIN,375,-500,10,230
201812280NOP,148,-175,3.5,230
201812280ORL,-200,170,6.5,208
201812280PHO,-190,160,7.5,223
201812280WAS,170,-200,4.5,216.5
201812290ATL,150,-180,3,218.5
201812290LAC,120,-140,2,227.5
201812290MEM,-170,145,3,199.5
201812290MIL,500,-700,11,223
201812290NOP,-160,140,1,229
201812290PHO,-210,175,5,217.5
201812290POR,-230,185,3.5,223.5
